imaging_round,block,plate,readout_number,feature,type,chr
65,RNA,1,65,RNA_P_Etl4,P,chr2
66,RNA,1,66,RNA_P_Klf4,P,chr4
67,RNA,1,67,RNA_P_mir290,P,chr7
68,RNA,1,68,RNA_P_Ddx11,P,chr17
69,RNA,1,69,RNA_P_Lamc1,P,chr1
70,RNA,1,70,RNA_P_Mcl1,P,chr3
71,RNA,1,71,RNA_P_Cbfa2t2,P,chr2
72,RNA,1,72,RNA_P_Macf1,P,chr4
73,RNA,1,73,RNA_P_Ceacam1,P,chr7
74,RNA,1,74,RNA_P_Srrm4os,P,chr5
75,RNA,1,75,RNA_P_Mycn,P,chr12
76,RNA,1,76,RNA_P_Zfp638,P,chr6
77,RNA,1,77,RNA_P_Mtcl1,P,chr17
78,RNA,1,78,RNA_P_Enah,P,chr1
79,RNA,1,79,RNA_P_Pias3,P,chr3
80,RNA,1,80,RNA_P_Mybl2,P,chr2
81,RNA,1,81,RNA_P_Epha2,P,chr4
82,RNA,1,82,RNA_P_Abhd17c,P,chr7
83,RNA,1,83,RNA_P_Med13l,P,chr5
84,RNA,1,84,RNA_P_Esrrb,P,chr12
85,RNA,1,85,RNA_P_Nanog,P,chr6
86,RNA,1,86,RNA_P_Sall1,P,chr8
87,RNA,1,87,RNA_P_Tet1,P,chr10
88,RNA,1,88,RNA_P_Ranbp17,P,chr11
89,RNA,1,89,RNA_P_Trim71,P,chr9
90,RNA,1,90,RNA_P_Lncenc1,P,chr13
91,RNA,1,91,RNA_P_Csnk1a1,P,chr18
92,RNA,1,92,RNA_P_Klf9,P,chr19
93,RNA,1,93,RNA_P_Hes1,P,chr16
94,RNA,1,94,RNA_P_Cd9,P,chr6
95,RNA,1,95,RNA_P_Klf3,P,chr5
96,RNA,1,96,RNA_P_Neat1,P,chr19
97,DNA,2,97,DNA_E_Zbtb10,E,chr3
98,DNA,2,98,DNA_E_Prdm14,E,chr1
99,DNA,2,99,DNA_E1_Car2,E,chr3
100,DNA,2,100,DNA_E_Fn1,E,chr1
101,DNA,2,101,DNA_E_Rrp1b,E,chr17
102,DNA,2,102,DNA_E2_Car2,E,chr3
103,DNA,2,103,DNA_E_Tcfcp2l1,E,chr1
104,DNA,2,104,DNA_E2_Pou5f1,E,chr17
105,DNA,2,105,DNA_E_Sox2,E,chr3
106,DNA,2,106,DNA_E1_Inhbb,E,chr1
107,DNA,2,107,DNA_E1_Pou5f1,E,chr17
108,DNA,2,108,DNA_E1_Etl4,E,chr2
109,DNA,2,109,DNA_E1_Mcl1,E,chr3
110,DNA,2,110,DNA_E2_Inhbb,E,chr1
111,DNA,2,111,DNA_E_Gabbr1,E,chr17
112,DNA,2,112,DNA_E2_Etl4,E,chr2
113,DNA,2,113,DNA_E_Klf4,E,chr4
114,DNA,2,114,DNA_E_Klf3,E,chr5
115,DNA,2,115,DNA_E_mir290,E,chr7
116,DNA,2,116,DNA_E_Zfp638,E,chr6
117,DNA,2,117,DNA_E_Neat1,E,chr19
118,DNA,2,118,DNA_E2_Mcl1,E,chr3
119,DNA,2,119,DNA_E_Smg7,E,chr1
120,DNA,2,120,DNA_E_Ccnd3,E,chr17
121,DNA,2,121,DNA_E_Cbfa2t2,E,chr2
122,DNA,2,122,DNA_E_Macf1,E,chr4
123,DNA,2,123,DNA_E_Srrm4os,E,chr5
124,DNA,2,124,DNA_E_Ceacam1,E,chr7
125,DNA,2,125,DNA_E_Nanog,E,chr6
126,DNA,2,126,DNA_E2_Klf9,E,chr19
127,DNA,2,127,DNA_E_Mycn,E,chr12
128,DNA,2,128,DNA_E_Pias3,E,chr3
129,DNA,2,129,DNA_E_Enah,E,chr1
130,DNA,2,130,DNA_E_Mtcl1,E,chr17
131,DNA,2,131,DNA_E_Mybl2,E,chr2
132,DNA,2,132,DNA_E_Epha2,E,chr4
133,DNA,2,133,DNA_E_Med13l,E,chr5
134,DNA,2,134,DNA_E_Abhd17c,E,chr7
135,DNA,2,135,DNA_E_Cd9,E,chr6
136,DNA,2,136,DNA_E1_Klf9,E,chr19
137,DNA,2,137,DNA_E_Esrrb,E,chr12
138,DNA,2,138,DNA_E_Sall1,E,chr8
139,DNA,2,139,DNA_E_Tet1,E,chr10
140,DNA,2,140,DNA_E_Ranbp17,E,chr11
141,DNA,2,141,DNA_E_Trim71,E,chr9
142,DNA,2,142,DNA_E_Lncenc1,E,chr13
143,DNA,2,143,DNA_E_Hes1,E,chr16
144,DNA,2,144,DNA_E_Csnk1a1,E,chr18
145,DNA,2,145,DNA_P_Sik1,P,chr17
146,DNA,2,146,DNA_P_Prdm14,P,chr1
147,DNA,2,147,DNA_P_Rrp1b,P,chr17
148,DNA,2,148,DNA_P_Fn1,P,chr1
149,DNA,2,149,DNA_P_Pou5f1,P,chr17
150,DNA,2,150,DNA_P_Tcfcp2l1,P,chr1
151,DNA,2,151,DNA_P_Zfp57,P,chr17
152,DNA,2,152,DNA_P_Zbtb10,P,chr3
153,DNA,2,153,DNA_P_Gabbr1,P,chr17
154,DNA,2,154,DNA_P_Inhbb,P,chr1
155,DNA,2,155,DNA_P_Ccnd3,P,chr17
156,DNA,2,156,DNA_P_Car2,P,chr3
157,DNA,2,157,DNA_P_Bysl,P,chr17
158,DNA,2,158,DNA_P_Smg7,P,chr1
159,DNA,2,159,DNA_P_Ankrd12,P,chr17
160,DNA,2,160,DNA_P_Sox2,P,chr3
161,DNA,2,161,DNA_P_Etl4,P,chr2
162,DNA,2,162,DNA_P_Klf4,P,chr4
163,DNA,2,163,DNA_P_mir290,P,chr7
164,DNA,2,164,DNA_P_Ddx11,P,chr17
165,DNA,2,165,DNA_P_Lamc1,P,chr1
166,DNA,2,166,DNA_P_Mcl1,P,chr3
167,DNA,2,167,DNA_P_Cbfa2t2,P,chr2
168,DNA,2,168,DNA_P_Macf1,P,chr4
169,DNA,2,169,DNA_P_Ceacam1,P,chr7
170,DNA,2,170,DNA_P_Srrm4os,P,chr5
171,DNA,2,171,DNA_P_Mycn,P,chr12
172,DNA,2,172,DNA_P_Zfp638,P,chr6
173,DNA,2,173,DNA_P_Mtcl1,P,chr17
174,DNA,2,174,DNA_P_Enah,P,chr1
175,DNA,2,175,DNA_P_Pias3,P,chr3
176,DNA,2,176,DNA_P_Mybl2,P,chr2
177,DNA,2,177,DNA_P_Epha2,P,chr4
178,DNA,2,178,DNA_P_Abhd17c,P,chr7
179,DNA,2,179,DNA_P_Med13l,P,chr5
180,DNA,2,180,DNA_P_Esrrb,P,chr12
181,DNA,2,181,DNA_P_Nanog,P,chr6
182,DNA,2,182,DNA_P_Sall1,P,chr8
183,DNA,2,183,DNA_P_Tet1,P,chr10
184,DNA,2,184,DNA_P_Ranbp17,P,chr11
185,DNA,2,185,DNA_P_Trim71,P,chr9
186,DNA,2,186,DNA_P_Lncenc1,P,chr13
187,DNA,2,187,DNA_P_Csnk1a1,P,chr18
188,DNA,2,188,DNA_P_Klf9,P,chr19
189,DNA,2,189,DNA_P_Hes1,P,chr16
190,DNA,2,190,DNA_P_Cd9,P,chr6
191,DNA,2,191,DNA_P_Klf3,P,chr5
192,DNA,2,192,DNA_P_Neat1,P,chr19
,RNA-sub,3,193,RNA_E1_Klf4,E,chr4
,DNA-sub,4,289,DNA_E1_Klf4,E,chr4
,RNA-sub,3,194,RNA_E2_Klf4,E,chr4
,DNA-sub,4,290,DNA_E2_Klf4,E,chr4
